column,feature_family,field_role,production_loader_action,lightweight_probe_action
nightlight_sd,remote_sensing,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,included_as_assembled_row_covariate
elevation,terrain_access,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,included_as_assembled_row_covariate
EVI,remote_sensing,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,included_as_assembled_row_covariate
market_distance,terrain_access,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,included_as_assembled_row_covariate
FAO_price,price,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,included_as_assembled_row_covariate
Rainf_f_tavg_mean,weather_derived,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,included_as_assembled_row_covariate
Tair_f_tavg_mean,weather_derived,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,included_as_assembled_row_covariate
gpp_mean,remote_sensing,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,included_as_assembled_row_covariate
sg_cec_5-15cm,soil,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,included_as_assembled_row_covariate
sg_cfvo_5-15cm,soil,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,included_as_assembled_row_covariate
sg_nitrogen_5-15cm,soil,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,included_as_assembled_row_covariate
sg_phh2o_5-15cm,soil,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,included_as_assembled_row_covariate
sg_soc_5-15cm,soil,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,included_as_assembled_row_covariate
market_access,terrain_access,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,included_as_assembled_row_covariate
ruggedness,terrain_access,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,included_as_assembled_row_covariate
slope,terrain_access,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,included_as_assembled_row_covariate
CPI,macro,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,included_as_assembled_row_covariate
GDP,macro,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,included_as_assembled_row_covariate
CC,macro,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,included_as_assembled_row_covariate
gini,macro,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,included_as_assembled_row_covariate
WFP_Price,price,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,included_as_assembled_row_covariate
WFP_Price_std,price,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,included_as_assembled_row_covariate
fews_ipc,ipc_target_projection,target_or_provider_projection_related,used_to_create_4_8_12_lags_then_dropped,excluded_to_avoid_obvious_target_or_identifier_leakage
fews_ha,ipc_target_projection,target_or_provider_projection_related,retained_by_loader_then_dropped_inside_model_fit,excluded_to_avoid_obvious_target_or_identifier_leakage
fews_proj_near,ipc_target_projection,target_or_provider_projection_related,dropped_immediately_by_loader,excluded_to_avoid_obvious_target_or_identifier_leakage
fews_proj_near_ha,ipc_target_projection,target_or_provider_projection_related,dropped_immediately_by_loader,excluded_to_avoid_obvious_target_or_identifier_leakage
fews_proj_med,ipc_target_projection,target_or_provider_projection_related,dropped_immediately_by_loader,excluded_to_avoid_obvious_target_or_identifier_leakage
fews_proj_med_ha,ipc_target_projection,target_or_provider_projection_related,dropped_immediately_by_loader,excluded_to_avoid_obvious_target_or_identifier_leakage
pop,agriculture_population,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,included_as_assembled_row_covariate
fews_ipc_adjusted,ipc_target_projection,target_or_provider_projection_related,dropped_immediately_by_loader,excluded_to_avoid_obvious_target_or_identifier_leakage
fews_proj_med_adjusted,ipc_target_projection,target_or_provider_projection_related,dropped_immediately_by_loader,excluded_to_avoid_obvious_target_or_identifier_leakage
ISO3,identifier_geography,identifier_or_time_metadata,dropped_immediately_by_loader,excluded_to_avoid_obvious_target_or_identifier_leakage
Food_CPI,macro,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,included_as_assembled_row_covariate
Food_food_inflation,macro,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,included_as_assembled_row_covariate
Tair_zscore,weather_derived,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,included_as_assembled_row_covariate
Rainf_zscore,weather_derived,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,included_as_assembled_row_covariate
fews_ipc_crisis,ipc_target_projection,binary_target,filters_to_non_null_then_used_as_target,excluded_to_avoid_obvious_target_or_identifier_leakage
